angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
10.0,13148.796947180168,-13148.796947180168,232.8955,10.0,11.324852011908993,1.0,11.540815139493665,14.035191278214636,15.0
10.0,13145.056090102738,-13145.056090102738,233.03425000000001,10.0,10.0,1.0,12.065157303949013,14.867838225701146,14.58681595455223
10.0,13144.560110682152,-13144.560110682152,233.6605,10.0,10.0,1.0,11.963127604123498,15.0,15.0
10.0,13135.413527303974,-13135.413527303974,235.6345,10.0,10.0,1.0,11.812392180564892,15.0,13.564452736647166
11.390824121179397,13125.152346709625,-13125.152346709625,228.8545,10.175237306898786,10.0,1.0,12.043125360896113,13.43738657809452,14.977859123640979
10.0,13123.76725304534,-13123.76725304534,236.91325,10.949121028891383,10.54616749110147,1.0,10.529744489015721,14.306369699961373,14.514236510508965
10.0,13121.747375731686,-13121.747375731686,237.877,10.075230560378344,11.101116942669853,1.2688700412692064,11.327367096240154,15.0,13.451921035964835
10.0,13121.317331987018,-13121.317331987018,235.93825,10.389947214321042,10.703381001751195,1.2320927517381355,11.54685423383468,14.270535446575918,13.170314121047163
10.0,13118.949144376062,-13118.949144376062,235.35775,10.0,10.449234218105198,1.3732527986438123,12.360890721134657,14.622359434282053,12.151128459022576
10.0,13117.900320675082,-13117.900320675082,237.53574999999998,10.954778497064769,10.0,1.044691580786184,10.901121892358425,15.0,14.732925283073921
10.0,13109.554980132087,-13109.554980132087,236.71675000000002,10.0,10.0,1.960787376562016,11.511390853171115,13.889931435712247,13.844028922111313
10.0,13106.36624101553,-13106.36624101553,237.94225,10.723791827263804,11.232727262852011,1.4540178048612775,10.354634878566012,13.21920181488678,14.074935857847715
10.0,13105.977318496934,-13105.977318496934,229.59475,10.0,13.054962305391804,1.0,12.8729693689239,13.681804614401313,14.253739129819753
11.719468550020148,13097.701754726655,-13097.701754726655,228.35575,10.91500962563356,12.200483394345616,1.0,12.586949832660952,14.130136001300423,15.0
11.513584402928522,13088.237361506803,-13088.237361506803,234.72175000000001,10.0,10.46956257408737,2.0233184703315064,10.29358393467938,12.507653850904713,15.0
14.654383775722822,13079.335040994498,-13079.335040994498,227.386,10.0,10.0,1.256532465731106,12.55433765315592,15.0,13.312666775934463
10.0,13073.59948238542,-13073.59948238542,239.81125,10.583253380054243,13.043027634134955,1.0,10.0,13.415232079645955,12.787065982949589
13.811135650727625,13072.325655230552,-13072.325655230552,233.2105,10.374063421349241,10.673900666869116,1.0,11.899247905070489,14.315000096355131,15.0
10.0,12969.297081346316,-12969.297081346316,244.8835,10.823708181485602,10.0,3.3439087006724155,10.229404172121985,13.841212081337872,13.777075306980782
10.0,12951.629869787832,-12951.629869787832,242.851,12.407906221151372,11.65926356300468,2.749197259484286,10.000390804308296,15.0,14.364162349226362
